2023-11-21	11:39:40	c985688e-c4d8-416d-9232-957485339ed9	/new-page	GET
2023-11-21	11:39:40	c206bfe1-ebee-43d2-96bc-ff878caea1ce	/img/a34ajom83aptn8iwwodh.jpg	GET
2023-11-21	11:39:40	eea0e246-bde0-4a39-8c90-dfa4bc96df94	/favicon.ico	GET
2023-11-21	11:40:05	9a086f3c-34bd-427c-ac05-3873c6da5526	/old	GET
2023-11-21	11:40:10	25f239ce-f44b-44d4-a51b-f98be07b93d0	/	GET
2023-11-21	11:40:27	d809e122-3903-4ac3-a532-a9008a97bafc	/	GET
2023-11-21	11:40:55	08323408-3e02-43cd-9720-cdd3859e0062	/	GET
2023-11-21	11:41:16	1fb29c45-baca-4679-88ac-bcf28875be71	/	GET
2023-11-21	11:41:27	c347ae2a-949b-42dd-95e6-d72489bd5e1c	/	GET
2023-11-21	11:41:32	8e3bad10-5cf8-437f-8c4c-9379432a8f81	/new-page	GET
2023-11-21	11:41:32	532640c9-2153-4ebd-894e-9b3af89690e3	/img/a34ajom83aptn8iwwodh.jpg	GET
2023-11-23	11:56:13	685cbc42-030d-43dd-81db-3a911c9b08da	GET	undefined	/subdir/text
2023-11-23	11:56:13	f3d7e6f5-bd80-47a3-8738-3c6f63316c17	GET	undefined	/subdir/styles/main.css
2023-11-23	11:56:16	410fab37-cab8-4bb3-83a0-4b4c8b4108a2	GET	undefined	/subdir/test
2023-11-23	11:56:25	b04955d2-5521-4ed4-afb0-61fe88f7f10f	GET	undefined	/subdir/test.html
2023-11-23	11:56:35	8ea5b796-a068-466c-aafd-528646ad79bc	GET	undefined	/subdir/text.html
2023-11-23	11:56:35	23a25b41-03ae-4a66-9c3c-7b2a56c875bf	GET	undefined	/subdir/styles/main.css
2023-11-23	11:56:45	5da00b16-101e-4b65-91e8-12eafd1b50ec	GET	undefined	/subdir/text
2023-11-23	11:56:45	6569261f-f31c-44e1-9a9e-cb10573fc2fb	GET	undefined	/subdir/styles/main.css
2023-11-23	11:57:09	4be936c2-ee2f-42b7-bc21-a9740219cf90	GET	undefined	/subdir/test
2023-11-23	11:58:36	bcb92e26-a8e4-4146-b1e6-cbe990344a05	GET	undefined	/subdir/te33
2023-11-23	11:58:36	8dadfaca-b231-4619-8f26-83c03d9903b7	GET	undefined	/subdir/styles/main.css
2023-11-23	11:58:41	c4d52cfa-bb51-410d-9379-3cd222a79cee	GET	undefined	/subdir/test
2023-11-23	11:58:41	4bcd4091-c3f3-420a-a5f8-ead58d1493d6	GET	undefined	/subdir/styles/main.css
2023-11-23	12:02:15	0f7a5bad-c7a8-4822-beff-e32e644aab70	GET	undefined	/subdir/test
2023-11-23	12:02:15	b4f94bb4-1b2c-46e3-b2f6-22465641ab42	GET	undefined	/subdir/styles/main.css
2023-11-23	12:02:19	93d76f33-4327-46b9-9286-53555d1730a7	GET	undefined	/
2023-11-23	12:02:19	5bcbe21b-3baf-4097-bd71-d3ba76b98ff2	GET	undefined	/styles/main.css
2023-11-23	12:02:26	54f97388-402e-4bf2-a2d0-72d4a8488e88	GET	undefined	/new-page
2023-11-23	12:02:26	0f34807a-33cd-4b91-9f6c-24d230fecb95	GET	undefined	/styles/main.css
2023-11-23	12:02:26	2961b9d0-f034-44f1-8e73-4009c3ae00f4	GET	undefined	/img/a34ajom83aptn8iwwodh.jpg
2023-11-23	12:21:43	1f124b4d-0cc1-4ba4-88d9-6a06d927ce34	GET	undefined	/employees
2023-11-24	12:00:12	22a72c93-13f7-48a7-9753-2d5dbecb005a	GET	undefined	/
2023-11-24	12:00:12	4bcf9caf-ecfe-442e-9985-0e7098f93572	GET	undefined	/styles/main.css
2023-11-24	12:00:12	c8592304-8fde-4cec-bbab-447af04b52b8	GET	undefined	/favicon.ico
2023-11-24	12:01:13	c8522a34-5bcf-45c3-ad1a-a2369c01b43f	GET	undefined	/employees
2023-11-24	12:02:05	a08a9e52-687e-4413-b911-cf7a9a3246e1	POST	undefined	/employees
2023-11-24	12:02:41	80ded900-0243-402f-878d-17faf8b9388d	POST	undefined	/employees
2023-11-24	12:03:55	3a2f4590-1116-457a-8d41-515b7afb3adb	POST	undefined	/employees
2023-11-24	12:04:47	6e5f45e9-9347-467b-b891-0f196b2b0e4a	DELETE	undefined	/employees
2023-11-24	12:05:19	9e275f25-fd06-406b-ac1e-15d5954c4778	DELETE	undefined	/employees
2023-11-24	12:09:21	57eb70fe-56ea-40d4-9141-22e0ffd210e1	DELETE	undefined	/employees
2023-11-24	12:11:22	f385b5e4-0ab1-41c8-b061-7668a4e8659f	DELETE	undefined	/employees
2023-11-24	12:12:06	d212db47-403a-4655-9fa4-882f0033d978	POST	undefined	/employees
2023-11-24	12:12:10	5fe6b581-2178-45f6-9c9d-7ae5dac608f2	DELETE	undefined	/employees
2023-11-24	12:12:23	73ccc088-251f-4070-9a82-e56efb87d5a1	POST	undefined	/employees
2023-11-24	12:12:24	19c6deaf-2c64-4d42-9073-5f3bd5d52f5d	DELETE	undefined	/employees
2023-11-24	12:13:15	a8d5d5e5-b853-47fd-a573-053518601d8a	PUT	undefined	/employees
2023-11-24	12:13:38	e5a2e1d7-2678-4453-b1ff-29c79c2ee199	PUT	undefined	/employees
2023-11-24	12:13:47	e0843eb2-297e-4424-a687-b45c34fbe977	PUT	undefined	/employees
2023-11-24	12:13:47	4fe5010a-241c-4aca-9b04-71b4d22751de	PUT	undefined	/employees
2023-11-24	12:13:48	cd4b28cc-a3fa-4110-be9e-7970d6a1d875	PUT	undefined	/employees
2023-11-24	12:13:48	40304033-4cf8-4299-be6c-de7ca0a2b9b5	PUT	undefined	/employees
2023-11-24	12:13:48	f298ed0b-29f9-478c-8c60-b907675ef543	PUT	undefined	/employees
2023-11-24	12:13:48	cfbd194f-0cac-4287-a8ff-cf5eb7ee1abc	PUT	undefined	/employees
2023-11-24	12:14:06	709daed9-13c7-4629-aa7a-98f9d3e7e80e	POST	undefined	/employees
