2023-11-21	11:39:40	c985688e-c4d8-416d-9232-957485339ed9	/new-page	GET
2023-11-21	11:39:40	c206bfe1-ebee-43d2-96bc-ff878caea1ce	/img/a34ajom83aptn8iwwodh.jpg	GET
2023-11-21	11:39:40	eea0e246-bde0-4a39-8c90-dfa4bc96df94	/favicon.ico	GET
2023-11-21	11:40:05	9a086f3c-34bd-427c-ac05-3873c6da5526	/old	GET
2023-11-21	11:40:10	25f239ce-f44b-44d4-a51b-f98be07b93d0	/	GET
2023-11-21	11:40:27	d809e122-3903-4ac3-a532-a9008a97bafc	/	GET
2023-11-21	11:40:55	08323408-3e02-43cd-9720-cdd3859e0062	/	GET
2023-11-21	11:41:16	1fb29c45-baca-4679-88ac-bcf28875be71	/	GET
2023-11-21	11:41:27	c347ae2a-949b-42dd-95e6-d72489bd5e1c	/	GET
2023-11-21	11:41:32	8e3bad10-5cf8-437f-8c4c-9379432a8f81	/new-page	GET
2023-11-21	11:41:32	532640c9-2153-4ebd-894e-9b3af89690e3	/img/a34ajom83aptn8iwwodh.jpg	GET
2023-11-23	11:56:13	685cbc42-030d-43dd-81db-3a911c9b08da	GET	undefined	/subdir/text
2023-11-23	11:56:13	f3d7e6f5-bd80-47a3-8738-3c6f63316c17	GET	undefined	/subdir/styles/main.css
2023-11-23	11:56:16	410fab37-cab8-4bb3-83a0-4b4c8b4108a2	GET	undefined	/subdir/test
2023-11-23	11:56:25	b04955d2-5521-4ed4-afb0-61fe88f7f10f	GET	undefined	/subdir/test.html
2023-11-23	11:56:35	8ea5b796-a068-466c-aafd-528646ad79bc	GET	undefined	/subdir/text.html
2023-11-23	11:56:35	23a25b41-03ae-4a66-9c3c-7b2a56c875bf	GET	undefined	/subdir/styles/main.css
2023-11-23	11:56:45	5da00b16-101e-4b65-91e8-12eafd1b50ec	GET	undefined	/subdir/text
2023-11-23	11:56:45	6569261f-f31c-44e1-9a9e-cb10573fc2fb	GET	undefined	/subdir/styles/main.css
2023-11-23	11:57:09	4be936c2-ee2f-42b7-bc21-a9740219cf90	GET	undefined	/subdir/test
2023-11-23	11:58:36	bcb92e26-a8e4-4146-b1e6-cbe990344a05	GET	undefined	/subdir/te33
2023-11-23	11:58:36	8dadfaca-b231-4619-8f26-83c03d9903b7	GET	undefined	/subdir/styles/main.css
2023-11-23	11:58:41	c4d52cfa-bb51-410d-9379-3cd222a79cee	GET	undefined	/subdir/test
2023-11-23	11:58:41	4bcd4091-c3f3-420a-a5f8-ead58d1493d6	GET	undefined	/subdir/styles/main.css
2023-11-23	12:02:15	0f7a5bad-c7a8-4822-beff-e32e644aab70	GET	undefined	/subdir/test
2023-11-23	12:02:15	b4f94bb4-1b2c-46e3-b2f6-22465641ab42	GET	undefined	/subdir/styles/main.css
2023-11-23	12:02:19	93d76f33-4327-46b9-9286-53555d1730a7	GET	undefined	/
2023-11-23	12:02:19	5bcbe21b-3baf-4097-bd71-d3ba76b98ff2	GET	undefined	/styles/main.css
2023-11-23	12:02:26	54f97388-402e-4bf2-a2d0-72d4a8488e88	GET	undefined	/new-page
2023-11-23	12:02:26	0f34807a-33cd-4b91-9f6c-24d230fecb95	GET	undefined	/styles/main.css
2023-11-23	12:02:26	2961b9d0-f034-44f1-8e73-4009c3ae00f4	GET	undefined	/img/a34ajom83aptn8iwwodh.jpg
2023-11-23	12:21:43	1f124b4d-0cc1-4ba4-88d9-6a06d927ce34	GET	undefined	/employees
